BOLDID,name,addName,morph,date,trapID
7162,Pasimachus punctulatus,,,9/5/2012,7
7161,Pasimachus punctulatus,,,8/1/2012,9
7160,Pasimachus punctulatus,,,9/5/2012,5
7159,Pasimachus punctulatus,,,8/1/2012,2
7158,Pasimachus punctulatus,,,8/29/2012,9
7157,Pasimachus punctulatus,,,8/29/2012,5
7156,Pasimachus punctulatus,,,9/5/2012,7
7155,Pasimachus punctulatus,,,8/1/2012,2
7154,Pasimachus punctulatus,,,8/22/2012,2
7153,Pasimachus punctulatus,,,8/8/2012,3
7152,Pasimachus punctulatus,,,8/8/2012,3
7151,Pasimachus punctulatus,,,9/5/2012,5
7150,Pasimachus punctulatus,,,8/15/2012,2
7149,Pasimachus punctulatus,,,8/1/2012,5
7148,Pasimachus punctulatus,,,8/1/2012,2
7147,Pasimachus punctulatus,,,8/15/2012,5
7146,Pasimachus punctulatus,,,8/8/2012,2
7145,Pasimachus punctulatus,,,8/8/2012,5
7144,Pasimachus punctulatus,,,9/5/2012,5
7143,Pasimachus punctulatus,,,9/5/2012,7
7004,Pasimachus sublaevis,,,8/29/2012,1
7003,Pasimachus sublaevis,,,9/5/2012,1
7002,Pasimachus sublaevis,,,8/29/2012,1
7001,Pasimachus sublaevis,,,8/15/2012,1
7000,Pasimachus sublaevis,,,8/22/2012,1
6067,Pasimachus punctulatus,,,8/8/2012,2
6066,Pasimachus punctulatus,,,9/5/2012,5
6065,Pasimachus punctulatus,,,8/22/2012,2
6064,Pasimachus punctulatus,,,8/1/2012,3
6063,Pasimachus punctulatus,,,9/5/2012,2
6062,Pasimachus punctulatus,,,8/1/2012,5
6061,Pasimachus punctulatus,,,8/1/2012,2
6060,Pasimachus punctulatus,,,8/1/2012,2
6059,Pasimachus punctulatus,,,8/1/2012,1
6058,Pasimachus punctulatus,,,8/29/2012,5
6057,Pasimachus sublaevis,,,8/29/2012,1
6056,Pasimachus sublaevis,,,8/22/2012,1
6055,Pasimachus sublaevis,,,8/15/2012,1
6054,Pasimachus subsulcatus,,,8/15/2012,9
6053,Pasimachus subsulcatus,,,8/22/2012,6
6052,Pasimachus subsulcatus,,,8/8/2012,5
6051,Pasimachus subsulcatus,,,8/8/2012,2
6050,Pasimachus subsulcatus,,,8/15/2012,5
6049,,Unknown,D03.2012.MorphOB,8/15/2012,8
6048,,Unknown,D03.2012.MorphOB,8/15/2012,8
6047,,Unknown,D03.2012.MorphOA,8/29/2012,4
